[2026-07-16 09:43:59][INFO] 从配置加载了 36 个种子URL
[2026-07-16 09:45:40][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6689.htm] 30504 bytes
[2026-07-16 09:45:40][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6688.htm] 21227 bytes
[2026-07-16 09:45:41][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6686.htm] 21364 bytes
[2026-07-16 09:45:41][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6745.htm] 23533 bytes
[2026-07-16 09:45:42][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/tzgg/2.htm] 21376 bytes
[2026-07-16 09:45:42][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6676.htm] 22236 bytes
[2026-07-16 09:45:43][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6671.htm] 26705 bytes
[2026-07-16 09:45:43][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6667.htm] 65888 bytes
[2026-07-16 09:45:44][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6664.htm] 28953 bytes
[2026-07-16 09:45:45][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6661.htm] 28265 bytes
[2026-07-16 09:45:45][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6649.htm] 22353 bytes
[2026-07-16 09:45:46][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6648.htm] 27806 bytes
[2026-07-16 09:45:46][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6641.htm] 27820 bytes
[2026-07-16 09:45:47][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6685.htm] 70580 bytes
[2026-07-16 09:45:47][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6646.htm] 25215 bytes
[2026-07-16 09:45:48][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/tzgg/1.htm] 20304 bytes
[2026-07-16 09:45:48][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6515.htm] 38062 bytes
[2026-07-16 09:45:49][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6509.htm] 28132 bytes
[2026-07-16 09:45:49][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6647.htm] 71883 bytes
[2026-07-16 09:45:50][WARN] HTTP 202 https://sesu.scu.edu.cn/tzgg.htm
[2026-07-16 09:45:50][WARN] HTTP 202 https://law.scu.edu.cn/tzgg.htm
[2026-07-16 09:45:50][INFO] 抓取成功 [https://lj.scu.edu.cn/xzgl/xygg.htm] 28386 bytes
[2026-07-16 09:45:51][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/8069.htm] 75760 bytes
[2026-07-16 09:45:54][INFO] 抓取成功 [https://lj.scu.edu.cn/xzgl/xygg/41.htm] 28663 bytes
[2026-07-16 09:45:54][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7215.htm] 39972 bytes
[2026-07-16 09:45:55][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7195.htm] 37200 bytes
[2026-07-16 09:45:55][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7192.htm] 89832 bytes
[2026-07-16 09:45:56][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7169.htm] 30266 bytes
[2026-07-16 09:45:56][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7164.htm] 30899 bytes
[2026-07-16 09:45:57][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7162.htm] 33243 bytes
[2026-07-16 09:45:57][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7159.htm] 26676 bytes
[2026-07-16 09:45:58][INFO] 抓取成功 [https://lj.scu.edu.cn/xzgl/xygg/40.htm] 28778 bytes
[2026-07-16 09:45:59][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7156.htm] 37428 bytes
[2026-07-16 09:45:59][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7154.htm] 71836 bytes
[2026-07-16 09:46:00][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7115.htm] 35699 bytes
[2026-07-16 09:46:00][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7086.htm] 23817 bytes
[2026-07-16 09:46:01][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7085.htm] 35417 bytes
[2026-07-16 09:46:01][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7080.htm] 37710 bytes
[2026-07-16 09:46:02][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7077.htm] 26791 bytes
[2026-07-16 09:46:02][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7059.htm] 52546 bytes
[2026-07-16 09:46:04][INFO] 抓取成功 [https://lj.scu.edu.cn/xzgl/xygg/39.htm] 28481 bytes
[2026-07-16 09:46:04][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7055.htm] 25475 bytes
[2026-07-16 09:46:04][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7053.htm] 26058 bytes
[2026-07-16 09:46:05][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7051.htm] 46673 bytes
[2026-07-16 09:46:05][INFO] 抓取成功 [https://lj.scu.edu.cn/info/1035/7025.htm] 32545 bytes
[2026-07-16 09:46:06][WARN] HTTP 202 https://flc.scu.edu.cn/tzgg.htm
[2026-07-16 09:46:06][INFO] 抓取成功 [https://art.scu.edu.cn/index/tzgg.htm] 20858 bytes
[2026-07-16 09:46:07][INFO] 抓取成功 [https://art.scu.edu.cn/index/tzgg/30.htm] 20844 bytes
[2026-07-16 09:46:07][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6347.htm] 35539 bytes
[2026-07-16 09:46:08][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6346.htm] 22292 bytes
[2026-07-16 09:46:08][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6343.htm] 20980 bytes
